Type,Title,Status,Priority,Story Points,Epic,Description,Tags
Epic,사용자 인증 및 계정 관리,완료,P0,,,"안전하고 사용자 친화적인 인증 시스템 구축","Authentication,Security"
User Story,회원가입,완료,P0,5,사용자 인증 및 계정 관리,"신규 사용자가 이메일과 비밀번호로 계정을 생성할 수 있다","Sprint1,Auth"
Task,회원가입 API 엔드포인트 구현,완료,P0,,회원가입,"POST /api/auth/register 엔드포인트 구현","Backend,API"
Task,이메일 중복 검사 로직,완료,P0,,회원가입,"이메일 중복 여부 확인 로직 구현","Backend,Validation"
Task,비밀번호 암호화,완료,P0,,회원가입,"bcrypt를 사용한 비밀번호 해싱","Backend,Security"
Task,User 모델 생성,완료,P0,,회원가입,"MongoDB User 스키마 및 모델 정의","Backend,Database"
Task,입력 유효성 검증,완료,P0,,회원가입,"Joi를 사용한 입력 데이터 검증","Backend,Validation"
Task,회원가입 UI 컴포넌트,완료,P0,,회원가입,"React 회원가입 폼 컴포넌트 개발","Frontend,UI"
User Story,로그인 및 토큰 관리,완료,P0,5,사용자 인증 및 계정 관리,"등록된 사용자가 이메일과 비밀번호로 로그인할 수 있다","Sprint1,Auth"
Task,로그인 API 엔드포인트 구현,완료,P0,,로그인 및 토큰 관리,"POST /api/auth/login 엔드포인트 구현","Backend,API"
Task,JWT Access Token 발급,완료,P0,,로그인 및 토큰 관리,"15분 만료 Access Token 발급","Backend,Security"
Task,JWT Refresh Token 발급,완료,P0,,로그인 및 토큰 관리,"7일 만료 Refresh Token 발급","Backend,Security"
Task,토큰 검증 미들웨어,완료,P0,,로그인 및 토큰 관리,"JWT 토큰 검증 미들웨어 구현","Backend,Middleware"
Task,로그인 UI 컴포넌트,완료,P0,,로그인 및 토큰 관리,"React 로그인 폼 컴포넌트 개발","Frontend,UI"
User Story,Bitget API 키 관리,완료,P0,8,사용자 인증 및 계정 관리,"사용자가 Bitget API 키를 안전하게 등록할 수 있다","Sprint1,Integration"
Task,API 키 등록 엔드포인트,완료,P0,,Bitget API 키 관리,"POST /api/account/api-keys 엔드포인트 구현","Backend,API"
Task,API 키 암호화 저장,완료,P0,,Bitget API 키 관리,"AES-256 암호화를 사용한 API 키 저장","Backend,Security"
Task,API 키 유효성 검증,완료,P0,,Bitget API 키 관리,"Bitget API 호출을 통한 키 유효성 확인","Backend,Integration"
Task,API 키 관리 UI,완료,P0,,Bitget API 키 관리,"API 키 등록 및 관리 UI 개발","Frontend,UI"
Epic,실시간 시장 데이터,완료,P0,,,"실시간 암호화폐 시세 및 차트 제공","Market,Data"
User Story,실시간 시세 조회,완료,P0,5,실시간 시장 데이터,"암호화폐의 현재 가격을 실시간으로 확인할 수 있다","Sprint1,Market"
Task,Bitget API 통합,완료,P0,,실시간 시세 조회,"bitgetService.js 모듈 개발","Backend,Integration"
Task,시세 조회 API,완료,P0,,실시간 시세 조회,"GET /api/market/ticker/:symbol 엔드포인트 구현","Backend,API"
Task,시세 표시 UI 컴포넌트,완료,P0,,실시간 시세 조회,"실시간 가격 표시 컴포넌트 개발","Frontend,UI"
User Story,WebSocket 실시간 스트리밍,완료,P1,8,실시간 시장 데이터,"WebSocket을 통해 실시간 시세를 받을 수 있다","Phase2,WebSocket"
Task,WebSocket 서버 구현,완료,P1,,WebSocket 실시간 스트리밍,"websocketService.js 개발","Backend,WebSocket"
Task,Bitget WebSocket 연결,완료,P1,,WebSocket 실시간 스트리밍,"Bitget WebSocket API 연동","Backend,Integration"
Task,클라이언트 WebSocket 연결,완료,P1,,WebSocket 실시간 스트리밍,"프론트엔드 WebSocket 클라이언트 구현","Frontend,WebSocket"
Task,자동 재연결 로직,완료,P1,,WebSocket 실시간 스트리밍,"연결 끊김 시 자동 재연결 기능","Frontend,WebSocket"
User Story,차트 및 기술적 지표,완료,P1,13,실시간 시장 데이터,"가격 차트와 기술적 지표를 볼 수 있다","Phase2,Chart"
Task,캔들 차트 구현,완료,P1,,차트 및 기술적 지표,"Recharts를 사용한 캔들차트 개발","Frontend,Chart"
Task,기술적 지표 계산,완료,P1,,차트 및 기술적 지표,"RSI MACD Bollinger Bands 계산","Backend,Indicator"
